Col1,Col2,Col3,Col4
,," 4.17 avg rating — 71,922 ratings",
,,"score: 22, and 1 person voted ?",
94,Tom Lake,Tom Lake,Want to Read
,,by ,Rate this book
,,Ann Patchett,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.99 avg rating — 341,815 ratings",
,,"score: 20, and 1 person voted ?",
95,Let the Great World Spin,Let the Great World Spin,Want to Read
,,by ,Rate this book
,,Colum McCann (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.95 avg rating — 106,305 ratings",
,,"score: 18, and 1 person voted ?",
96,Tenth of December,Tenth of December,Want to Read
,,by ,Rate this book
,,George Saunders,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.98 avg rating — 76,241 ratings",
,,"score: 17, and 1 person voted ?",
97,The Plot Against America,The Plot Against America,Want to Read
,,by ,Rate this book
,,Philip Roth,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.81 avg rating — 63,016 ratings",
,,"score: 13, and 1 person voted ?",
98,The Glass Castle,The Glass Castle,Want to Read
,,by ,Rate this book
,,Jeannette Walls (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.32 avg rating — 1,250,457 ratings",
,,"score: 12, and 1 person voted ?",
